index,OCC_COMPL,LAST_N,FIRST_N,PER_GRP,PER_COMPL,LOC_PAR,LOC_STR,NUM,LOC_COMPL,NORM_PARISH,DISTRICT,geometry,geometry_from,profession,profession_eng,category,category_eng,PAGE_NUM
0,,Alessandri,"Antonio,",,,s. Marco,all’ Ascensione,1291,,marco,San Marco,POINT (12.336748631923397 45.43334684540878),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,103
1,,Alvisi,"Luigi,",,,s. M. del Giglio,calle lunga s. Moise ramo Pedracchi,2069,,maria del giglio,San Marco,POINT (12.33508424993851 45.43304441939665),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,103
2,,Battistella,"Giovanni,",,,s. Benedetto,ramo Venier,3780,,beneto,San Marco,POINT (12.33222865326948 45.43522513307187),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
3,,Benedetti,"Bartolommeo,",,,s. Luca,salizzada s. Paterniano,4220,,luca,San Marco,POINT (12.336997431062901 45.436448913158785),cadaster,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
4,,Bia,"Stefano,",,,s. M. del Giglio,fondamenta della Fenice,2553,,maria del giglio,San Marco,POINT (12.333325750975808 45.43317412513807),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
5,,Billiani,"Antonio,",,,s. Marco,piscina frezzeria,1660,,marco,San Marco,POINT (12.33500445724795 45.43398447987513),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
6,,Bottoni,"Francesco,",,,s. Zaccaria,fondamenta del vin,4661,,zaccaria,Castello,POINT (12.34231789321019 45.43484254772693),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
7,,Brenzoni,"Augusto,",,,s. Stefano,calle del Pestrin,3524,,stefano,San Marco,POINT (12.330883726658367 45.434136452161766),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
8,,Calabi,"Francesco,",,,s. Marco,ponte dei consorzi,4391,,marco,San Marco,POINT (12.335517742822953 45.43516786491917),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
9,,Callegari,"Annibale,",,,"s, Zaccaria",calle nuova,4674,,zaccaria,Castello,POINT (12.342682982072578 45.43451482841904),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
10,,Calucci,"Giuseppe,",,,s. Zaccaria,fondamenta dell’ osmarin,4967,,zaccaria,Castello,POINT (12.343219815806403 45.43554913561706),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
11,,Cigolotti,Jacopo,,,s. Luca,calle avvocati s. Angelo,3913,,luca,San Marco,POINT (12.331808233009426 45.43493949071734),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
12,,Cipriani,Giovanni,,,s. Salvatore,merceria stretta,5042,,salvador,San Marco,POINT (12.336649554516356 45.43727134638598),manuel,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
13,,Costi,Michele,,,s. Zaccaria,ponte canonica,4313,,zaccaria,Castello,POINT (12.340724447039154 45.435019650191656),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
